drugbank_id,cas,logP ALOGPS,logP ChemAxon,solubility ALOGPS,pKa (strongest acidic),pKa (strongest basic)
DB00479,37517-28-5,-3.2,-8.6,4.97e+01 g/l,12.1,9.79
DB00480,191732-72-6,-0.43,-0.71,2.33e+00 g/l,11.61,2.31
DB00481,84449-90-1,5.45,5.69,5.12e-04 g/l,8.89,7.95
DB00482,169590-42-5,3.99,4.01,5.03e-03 g/l,10.7,-0.42
DB00485,3116-76-5,3.19,2.91,2.96e-02 g/l,3.75,-0.71
DB00486,51022-71-0,7.5,6.36,4.93e-04 g/l,9.33,-4.9
DB00487,70458-92-3,0.2,0.88,1.23e+00 g/l,5.66,6.47
DB00489,3930-20-9,0.85,-0.4,7.82e-01 g/l,10.07,9.43
DB00491,72432-03-2,-2.3,-3.2,6.10e+02 g/l,12.9,7.6
DB00492,98048-97-6,4.71,5.62,1.01e-03 g/l,3.87,-4.4
DB00493,63527-52-6,0.14,-1.4,1.46e-01 g/l,3.18,4.15
DB00494,130929-57-6,2.5,1.63,7.97e-02 g/l,5.68,-0.036
DB00495,30516-87-1,-0.1,-0.3,1.63e+01 g/l,9.96,-3
DB00496,133099-04-4,4.35,4.54,2.98e-04 g/l,16.21,10.11
DB00497,76-42-6,1.04,1.03,5.59e+00 g/l,13.57,8.77
DB00498,83-12-5,3.1,2.88,2.30e-02 g/l,4.88,-7.5
DB00499,13311-84-7,2.55,3.27,5.66e-03 g/l,13.17,-3.7
DB00500,26171-23-3,2.81,2.73,1.31e-01 g/l,3.96,-7.8
DB00501,51481-61-9,0.44,-0.11,1.76e-01 g/l,13.38,6.91
DB00502,52-86-8,3.7,3.66,4.46e-03 g/l,13.96,8.05
DB00503,155213-67-5,4.24,5.22,1.26e-03 g/l,13.68,2.84
DB00504,152-02-3,3.91,3.76,2.52e-02 g/l,10.36,9.41
DB00505,60-49-1,2.31,0.29,1.68e-05 g/l,13.69,-3.4
DB00507,55981-09-4,2.14,2.12,7.55e-03 g/l,8.3,-4.2
DB00509,51-49-0,1.15,3.73,8.98e-03 g/l,0.27,9.43
DB00511,1111-39-3,2.87,4.04,1.23e-02 g/l,7.18,0.24
DB00512,1404-90-6,1.11,-4.4,2.25e-01 g/l,2.99,9.93
DB00513,60-32-2,-2.7,-2,4.52e+01 g/l,4.73,10.21
DB00518,54965-21-8,3.22,3.2,2.28e-02 g/l,9.51,4.27
DB00519,87679-37-6,1.31,1.95,2.07e-02 g/l,3.8,5.21
DB00520,162808-62-0,0.17,-4.8,3.67e-01 g/l,8.75,9.76
DB00521,51781-06-7,1.05,1.42,4.21e-01 g/l,13.41,9.76
DB00522,37106-97-1,2.99,3.54,4.12e-03 g/l,4.16,-1.3
DB00524,17560-51-9,3.21,2.94,4.07e-02 g/l,9.54,-1.6
DB00527,85-79-0,3.79,3.7,3.89e-02 g/l,14.57,9.04
DB00530,183321-74-6,3.13,3.2,8.91e-03 g/l,16.14,4.62
DB00531,50-18-0,0.76,0.097,1.51e+01 g/l,12.78,-0.57
DB00532,50-12-4,1.64,1.67,9.70e-01 g/l,11.18,-8.1
DB00533,162011-90-7,2.32,2.56,1.06e-02 g/l,14.84,-7
DB00534,62-37-3,-0.5,-0.86,2.92e+01 g/l,14.05,-1.8
