drugbank_id,cas,logP ALOGPS,logP ChemAxon,solubility ALOGPS,pKa (strongest acidic),pKa (strongest basic)
DB06530,144875-48-9,2.24,1.72,2.41e-01 g/l,14.91,4.83
DB06533,222834-30-2,4.77,5.02,9.85e-03 g/l,3.73,-3.6
DB06535,37178-37-3,0.22,0.97,1.78e+00 g/l,9.29,6.97
DB06536,251565-85-2,3.18,3.14,3.51e-03 g/l,3.73,-4.1
DB06538,169758-66-1,3.26,2.75,1.22e-01 g/l,14.23,8.8
DB06543,472-61-7,7.4,8.05,6.67e-04 g/l,13.07,-3.5
DB06548,180064-38-4,-0.48,-3.5,8.68e+00 g/l,0.68,6.32
DB06549,159768-75-9,-2.5,-7.2,4.28e-02 g/l,1.65,11.48
DB06554,64603-91-4,-1.3,-2,1.66e+01 g/l,5.12,8.85
DB06558,180384-57-0,2.96,4.34,2.98e-02 g/l,5.2,2.11
DB06569,384329-61-7,4,5.04,7.69e-03 g/l,12.29,-3.2
DB06573,259188-38-0,2.75,0.97,6.18e-03 g/l,9.31,-2.6
DB06575,195157-34-7,-0.78,-1.1,3.03e+00 g/l,10.17,7.48
DB06578,175013-84-0,2.97,2.87,8.92e-03 g/l,12.39,-1.1
DB06580,121104-96-9,-0.83,-0.97,3.44e+02 g/l,12.93,8.19
DB06581,174022-42-5,5.88,8,1.35e-04 g/l,4.16,-7.1
DB06585,150586-58-6,3.56,3.56,1.39e-01 g/l,14.35,6.57
DB06587,154738-42-8,4.2,4.9,3.80e-02 g/l,12.63,9.63
DB06588,1213777-80-0,4.22,4.45,7.10e-03 g/l,9.5,-4.5
DB06589,444731-52-6,3.59,3.55,4.33e-02 g/l,10.41,5.07
DB06590,229016-73-3,-0.79,-3.7,2.45e-02 g/l,1.8,0.39
DB06594,138112-76-2,2.83,2.04,7.76e-03 g/l,15.96,-0.94
DB06595,120685-11-2,4.52,5.43,1.57e-02 g/l,13.45,-0.83
DB06597,172377-52-5,2.8,2.7,7.25e-03 g/l,10.85,-0.88
DB06598,203258-60-0,2.49,0.44,9.23e-02 g/l,13.1,11.46
DB06600,378746-64-6,0.32,-0.44,4.53e-01 g/l,5.73,9.66
DB06603,404950-80-7,3.16,2.48,1.98e-03 g/l,9.31,9.95
DB06604,473289-62-2,2.11,2.41,5.89e-02 g/l,3.6,-3.5
DB06605,503612-47-3,2.22,1.83,6.79e-02 g/l,13.12,-1.6
DB06608,106635-80-7,5.07,4.97,1.37e-03 g/l,17.14,10.2
DB06609,137215-12-4,0.89,0.59,1.82e+00 g/l,12.6,-3.3
DB06614,330600-85-6,-0.27,-2.1,3.80e-01 g/l,4.09,12.46
DB06616,380843-75-4,4.87,4.09,9.50e-03 g/l,15.48,8.43
DB06619,145514-04-1,-0.91,-0.76,9.68e+00 g/l,13.85,5.81
DB06620,189681-70-7,1.72,2.01,1.39e-01 g/l,11.88,8.69
DB06622,25848-69-5,2.3,2.46,1.02e-01 g/l,18.3,-0.51
DB06623,56995-20-1,2.61,2.67,7.32e-02 g/l,12.9,7.5
DB06624,701977-09-5,6.03,6.8,5.96e-04 g/l,13.74,1.59
DB06625,442908-10-3,1.51,2.22,2.12e-01 g/l,15.78,4.16
DB06626,319460-85-0,4.17,4.15,5.51e-04 g/l,13.07,4.59
DB06629,186497-07-4,2.33,1.01,1.77e-01 g/l,5.46,0.92
DB06633,51036-13-6,-1.6,-1.9,2.83e+01 g/l,-2.2,3.07
DB06635,193153-04-7,2.12,1.54,2.02e-03 g/l,14.94,11.46
DB06636,742049-41-8,1.73,0.52,5.16e-03 g/l,12.57,6.45
DB06637,504-24-5,0.08,0.29,2.71e+02 g/l,16.04,12.18
DB06640,341524-89-8,5.71,5.51,4.61e-04 g/l,15.12,-2.7
DB06645,249921-19-5,2.86,2.36,1.03e-02 g/l,12.7,8.34
DB06649,133865-88-0,2.61,2.48,1.15e-02 g/l,15.76,7.93
DB06651,179822-83-4,1.29,6.46,3.86e-02 g/l,2.48,11.86
DB06654,133865-89-1,2.59,2.48,9.89e-03 g/l,15.76,7.93
DB06656,180300-43-0,-1.7,-2.6,1.47e+00 g/l,11.21,-2.7
DB06657,92262-58-3,1.1,0.89,2.39e+00 g/l,13.46,-0.99
DB06659,284041-10-7,7.67,10.24,3.94e-03 g/l,12.37,5.15
DB06660,142001-63-6,5.81,5.25,1.15e-04 g/l,13.69,9.03
DB06663,396091-73-9,3.03,2.68,2.03e-03 g/l,9.09,10.43
DB06666,168079-32-1,4.99,5.98,4.67e-04 g/l,12.37,-3.1
DB06670,603139-19-1,4.04,3.33,6.66e-03 g/l,11.12,3.25
DB06673,871224-64-5,5.25,5.87,3.09e-04 g/l,15.25,7.06
DB06677,180384-56-9,2.03,2.83,4.28e-02 g/l,3.53,2.11
DB06680,199396-76-4,4.28,4.28,2.11e-03 g/l,8.34,2.56
DB06683,163252-36-6,-0.72,-1.1,8.77e+01 g/l,10.1,-3
DB06684,163521-12-8,4.21,3.72,1.23e-01 g/l,14.19,8.6
DB06685,248281-84-7,2.77,2.55,4.38e-02 g/l,5.02,-2.2
DB06693,73573-88-3,4.13,3.62,3.21e-02 g/l,14.91,-2.8
DB06695,211915-06-9,5.17,4.59,4.66e-03 g/l,17.89,4.48
DB06696,51025-85-5,-2.9,-6.9,4.10e+01 g/l,12.49,9.99
DB06699,214766-78-6,2.66,0.18,4.10e-03 g/l,10.55,11.16
DB06700,93413-62-8,2.6,2.29,1.40e+00 g/l,10.11,8.87
DB06702,286930-02-7,5.45,5.7,2.05e-03 g/l,14.98,10.64
DB06703,770691-21-9,0.35,-4.6,4.96e-02 g/l,0.99,-3
DB06705,193901-90-5,3.84,-1.2,1.69e-01 g/l,0.78,9.67
DB06707,829-74-3,-0.77,-0.39,1.46e+01 g/l,9.63,8.96
DB06708,82186-77-4,8.34,9.19,3.09e-05 g/l,14.1,9.78
DB06710,58-18-4,3.61,3.65,1.39e-02 g/l,19.09,-0.53
DB06713,53016-31-2,3.18,3.67,6.05e-03 g/l,11.47,3.12
DB06716,258516-89-1,2.23,3.6,3.02e-01 g/l,1.44,-5
DB06717,172673-20-0,2.89,2.4,6.32e-03 g/l,1.02,5.69
DB06718,10418-03-8,4.33,3.81,1.73e-03 g/l,16.23,2.86
DB06721,292618-32-7,2.91,2.37,4.27e-02 g/l,11.71,3.06
DB06725,70374-39-9,3.08,0.64,4.37e-02 g/l,1.82,4.22
DB06726,54340-62-4,3.24,2.99,3.56e-02 g/l,13.06,9.24
DB06729,526-08-9,1.59,1.81,2.78e-01 g/l,6.82,2.44
DB06730,60282-87-3,3.15,3.46,5.81e-03 g/l,17.08,-1.9
DB06732,6051-87-2,4.72,3.96,1.01e-03 g/l,15.42,-5.4
DB06733,88899-55-2,3.89,5.08,1.55e-02 g/l,11.69,-0.73
DB06734,88899-56-3,4.23,5.04,5.84e-03 g/l,4.93,-0.73
DB06736,89796-99-6,4.88,3.88,1.99e-03 g/l,3.44,-2.1
DB06737,74711-43-6,3.55,3.76,1.39e-02 g/l,3.67,-7.6
DB06738,469-79-4,2.01,2.49,3.01e+00 g/l,9.44,8.09
DB06739,112665-43-7,3.35,5.37,3.59e-03 g/l,4.3,-7.9
DB06740,94015-46-0,4.36,4.29,1.15e-02 g/l,5.95,-5.1
DB06741,153436-22-7,4.18,4.45,1.20e-03 g/l,5.04,-2
DB06742,18683-91-5,3.72,2.65,1.85e-02 g/l,15.26,9.01
DB06743,15291-75-5,1.21,0.34,3.05e+00 g/l,11.77,-4.1
DB06744,,0.49,-0.58,5.21e+00 g/l,11.71,-3.5
DB06745,15291-76-6,0.24,-1.6,8.99e+00 g/l,11.7,-3.3
DB06746,107438-79-9,0.23,-0.66,6.96e+00 g/l,11.76,-3.3
DB06747,15291-78-8,0.6,-0.92,7.96e+00 g/l,12.05,-3.3
DB06748,11021-13-9,-0.02,-0.92,7.84e-01 g/l,11.75,-3.6
DB06749,41753-43-9,-0.24,-1.6,1.07e+00 g/l,11.75,-3.6
DB06750,22427-39-0,1,0.68,3.04e-01 g/l,11.91,-3
DB06762,60560-33-0,2.3,1.94,1.36e-01 g/l,16.28,8.16
DB06763,34273-10-4,0.27,-4.7,4.39e-02 g/l,3.41,10.84
DB06768,515-98-0,-0.51,-0.47,8.66e+02 g/l,3.78,-3.7
DB06769,16506-27-7,3.07,1.66,6.18e-02 g/l,4.38,6.65
DB06770,100-51-6,1.07,1.21,2.68e+01 g/l,15.02,-2.8
DB06771,141388-76-3,0.7,0.54,1.43e-01 g/l,5.64,9.67
DB06772,183133-96-2,3.69,4.2,4.13e-03 g/l,11.96,-3.6
DB06774,404-86-4,3.8,3.75,8.41e-03 g/l,9.93,-0.52
DB06775,1188-38-1,-1.1,-1.4,1.91e+01 g/l,3.36,-2.3
DB06777,474-25-9,3.01,3.71,1.97e-02 g/l,4.6,-0.54
DB06780,56-47-3,3.09,3.77,5.02e-03 g/l,17.17,-4.8
DB06781,23674-86-4,3.28,3,9.70e-03 g/l,13.55,-3.4
DB06782,59-52-9,0.58,0.21,2.76e+00 g/l,9.58,-2.8
DB06784,41183-64-6,1.06,-1.3,3.21e+00 g/l,3.05,-4.2
DB06785,124904-93-4,3.42,1.62,5.31e-03 g/l,9.5,12.14
DB06786,3093-35-4,3.31,3.3,1.12e-02 g/l,13.63,-3.4
DB06787,6004-98-4,-1.1,-0.99,5.76e-04 g/l,13.51,4.95
DB06789,630-56-8,4.81,5.88,8.66e-04 g/l,17.75,-4.8
DB06791,108736-35-2,1.87,-0.33,4.96e-03 g/l,9.43,10.26
DB06794,53882-12-5,0.72,0.83,3.61e-02 g/l,-6.7,0.73
DB06795,138-39-6,-0.37,-0.54,5.18e+00 g/l,10.27,9.24
DB06796,155319-91-8,0.79,-1.8,1.06e+00 g/l,1.38,-6.4
DB06800,916055-93-1,0.59,-2.5,7.29e-03 g/l,9.9,-3.9
DB06801,502-54-5,1.51,1.53,4.36e+00 g/l,13.62,-3
DB06802,78281-72-8,1.53,2.08,1.97e-02 g/l,15.82,1.83
DB06803,50-65-7,4.49,3.91,7.99e-03 g/l,6.89,-4.4
DB06804,26027-38-3,3.49,4.82,2.14e-04 g/l,15.12,-2.7
DB06807,133-11-9,3.03,3.15,1.73e-01 g/l,9.87,2.32
DB06810,18378-89-7,-0.23,2.07,1.30e+00 g/l,8.49,-3.6
DB06811,9002-92-0,3.15,3.94,4.03e-04 g/l,15.12,-2.7
DB06813,146464-95-1,0.1,0.33,1.78e-02 g/l,3.44,2.86
DB06814,136-70-9,1.29,1.48,2.36e-01 g/l,9.86,8.98
DB06815,1121-31-9,0.87,0.2,3.00e+00 g/l,6.84,0.66
DB06821,651-06-9,0.53,0.23,3.13e-01 g/l,7.06,1.98
DB06825,57773-63-4,1.07,-3.6,3.05e-02 g/l,9.49,11.54
DB06826,120373-36-6,3.99,3.91,3.06e-02 g/l,4.31,-2.9
DB06827,32988-50-4,-3.4,-11,1.04e+00 g/l,10.5,10.14
DB06828,,3.3,3.02,2.88e-01 g/l,16.76,-4.9
DB06829,,4.52,2.93,9.01e-04 g/l,3.07,4.88
DB06830,,0.15,-0.035,1.10e+01 g/l,0.69,-5.2
DB06831,,2.74,3.42,6.41e-03 g/l,9.91,3.88
DB06832,524684-52-4,3.28,3.62,1.03e-01 g/l,7.53,1
DB06834,,3.01,2.19,2.03e-02 g/l,13.91,4.38
DB06835,,-0.57,0.69,2.98e-01 g/l,1.52,9.42
DB06836,593960-11-3,1.48,1.07,3.15e-02 g/l,8,-0.38
DB06837,,0.7,1.22,1.62e-01 g/l,8.79,-0.99
DB06842,,1.94,1.99,2.88e-01 g/l,13.35,-2.2
DB06843,,-1.8,-2.8,2.35e+00 g/l,1.16,4.97
DB06844,,2.82,1.85,3.16e-02 g/l,6.23,2.55
DB06845,,0.57,0.44,1.85e-01 g/l,15.31,11.49
DB06847,,3.96,4.14,3.85e-03 g/l,17.61,7.29
DB06850,,0.85,0.88,1.37e-01 g/l,15.26,11.49
DB06852,405168-58-3,3.74,2.62,2.66e-02 g/l,7.95,7.48
DB06853,,1.26,1.33,7.93e-02 g/l,15.22,11.49
DB06855,,1.7,2.8,6.57e-03 g/l,9.29,8.59
DB06856,,4.33,4.01,2.19e-03 g/l,9.78,9.02
DB06857,,3.05,3.49,6.30e-03 g/l,7.21,10.23
DB06858,,1.62,1.77,4.60e-02 g/l,15.22,11.49
DB06861,,0.8,0.43,4.37e-01 g/l,14.75,12.87
DB06862,,-0.16,1.21,6.59e-01 g/l,2.44,-6.4
DB06864,,-0.41,-0.32,2.73e+00 g/l,3.63,-3.1
DB06865,,2.12,1.04,3.32e-02 g/l,4.52,12.88
DB06866,,2.34,1.19,1.06e-02 g/l,4.5,12.87
DB06868,,2.9,3.13,2.08e-02 g/l,14.72,-0.086
DB06869,,2.31,1.75,2.18e-02 g/l,14.01,8.19
DB06870,618903-56-3,3.95,3.5,1.99e-02 g/l,18.9,-0.14
DB06871,,4.54,4.02,2.18e-03 g/l,9.79,-3
DB06872,,1.14,0.77,3.22e-01 g/l,9.47,-2.7
DB06873,,2.04,2.28,6.09e-03 g/l,9.95,-2.7
DB06874,,3.52,5.09,2.32e-02 g/l,12.15,1.72
DB06875,550997-55-2,4.24,4,5.46e-03 g/l,7.93,-6.2
DB06876,,2.97,2.7,4.39e-02 g/l,12.44,7.88
DB06877,,2.63,2.26,1.26e-01 g/l,11.59,1.64
DB06878,,1.3,1.43,4.46e-01 g/l,14.62,8.14
DB06881,,-0.29,0.24,8.11e+00 g/l,1.36,-4.5
DB06882,,4.36,5.39,5.28e-03 g/l,11.23,4.33
DB06883,,3.64,4.4,1.98e-02 g/l,11.55,4.3
DB06884,,2.48,3.42,1.69e-02 g/l,8.4,3.51
DB06885,,2.57,2.56,7.91e-02 g/l,3.87,2.07
DB06886,,1.87,2.54,1.49e-02 g/l,13.29,-2.8
DB06887,,0.43,0.45,1.10e-01 g/l,-1.4,-4.4
DB06888,,1.86,2.14,3.35e-01 g/l,8.26,7.01
DB06889,,1.19,1.53,1.22e-01 g/l,4.1,1.83
DB06890,,2.69,2.82,1.75e-01 g/l,13.25,5.65
DB06891,,1.04,0.13,2.18e-01 g/l,6.42,-0.78
DB06892,,2.71,2.77,1.56e-02 g/l,8.13,-2.8
DB06894,112-53-8,5.36,4.36,2.60e-03 g/l,16.84,-2
DB06896,,4.31,3.95,1.73e-03 g/l,13.1,5.02
DB06897,,5.34,4.95,2.21e-02 g/l,15.96,3.67
DB06898,,2.15,1.79,7.26e-01 g/l,9.76,5.46
DB06899,,2.05,1.29,5.88e-02 g/l,15.24,7.77
DB06900,,0.3,0.18,8.58e-01 g/l,15.1,10.64
DB06901,,1.23,1.29,4.22e+00 g/l,14.82,-2.8
DB06902,599-64-4,4.7,4.35,2.09e-02 g/l,10.08,-5.5
DB06904,,1.31,0.6,4.28e-01 g/l,12.11,-1.1
DB06905,,0.71,1.41,8.13e-03 g/l,4.01,10.01
DB06906,15400-53-0,0.38,1.2,1.62e+01 g/l,12.6,1.91
DB06907,,3.85,4.21,2.87e-02 g/l,3.73,-0.76
DB06908,,5.38,5.08,1.48e-02 g/l,4.02,0.37
DB06909,,2.61,1.81,4.73e-02 g/l,14.78,5.16
DB06910,,2.97,3.71,2.50e-01 g/l,13.23,-0.62
DB06911,,1.77,2.16,7.18e-02 g/l,14.74,8.12
DB06912,,3.1,1.11,1.66e-02 g/l,14.25,-4
DB06913,,3.57,2.51,3.04e-02 g/l,8.55,1.58
DB06915,,0.66,1.44,1.65e+00 g/l,8.48,-5.7
DB06916,,2.24,2.1,3.21e-01 g/l,14.84,6.25
DB06918,,2.84,3.07,5.84e-03 g/l,14.55,11.17
DB06919,,2.05,2.56,9.16e-03 g/l,14.65,7.7
DB06920,536748-46-6,3.35,3.02,7.17e-03 g/l,11.46,-1.5
DB06921,,-0.63,0.55,9.39e-01 g/l,1.51,9.4
DB06922,,2.33,3.27,6.74e-03 g/l,3.07,-7
DB06923,,2.84,3.07,5.86e-03 g/l,14.95,11.21
DB06925,,4.34,5.41,9.88e-04 g/l,11.49,4.04
DB06926,,5.88,5.19,2.98e-03 g/l,4.99,-1.6
DB06927,,3.52,2.79,2.42e-01 g/l,8.75,-3.4
DB06929,,0.65,0.72,1.91e-01 g/l,15.27,11.48
DB06930,,2.73,2.81,2.28e-02 g/l,13.3,6.79
DB06931,,0.7,0.81,8.20e+00 g/l,0.69,-5.2
DB06933,,3.99,4.48,1.12e-03 g/l,10.14,5.65
DB06934,,2.28,1.99,2.12e+00 g/l,14.44,-3
DB06936,,1.42,1.45,1.63e-01 g/l,15.36,11.48
DB06937,,2.18,2.48,8.56e-01 g/l,8.2,-0.92
DB06938,,4.69,4.61,3.48e-03 g/l,11.64,6.56
DB06940,,1.78,2.52,2.00e-02 g/l,12.86,2.69
DB06941,,2.44,1.74,1.18e-01 g/l,11.82,7.77
DB06942,,1.72,1.85,4.62e-02 g/l,15.24,11.48
DB06943,,3,2.26,1.77e-02 g/l,9.92,-4.9
DB06944,,3.8,3.34,6.50e-03 g/l,12.91,2.58
DB06945,,2.36,2.51,4.41e-02 g/l,8.66,-4.1
DB06946,,0.28,0.41,7.39e+00 g/l,3.27,-3.6
DB06947,,0.06,-0.26,1.14e-01 g/l,15.28,11.48
DB06948,,4.54,4.33,2.05e-02 g/l,9.88,2
DB06949,,5.32,4.88,4.63e-03 g/l,6.44,0.33
DB06950,,5,4.5,1.02e-02 g/l,6.44,-0.26
DB06952,,0.92,1.83,8.80e+00 g/l,2.85,-5.1
DB06954,,3.08,2.69,2.68e-02 g/l,10.53,-6
DB06956,,3.35,2.49,2.86e-02 g/l,7.53,1.01
DB06957,,2.49,2.36,1.78e-01 g/l,8.01,5.39
DB06958,,1.45,0.27,4.04e-01 g/l,7.91,8.72
DB06959,,3.33,2.99,3.20e-04 g/l,14.15,9.53
DB06960,,5.27,4.39,2.96e-03 g/l,13.59,-0.68
DB06961,,3.36,2.5,1.13e-01 g/l,7.44,6.86
DB06963,,4.2,3.48,4.62e-03 g/l,16,8.17
DB06964,,3.82,3.21,7.95e-02 g/l,7.17,-2.7
DB06967,,4.03,3.5,1.58e-02 g/l,17.18,7.76
DB06969,,4.6,4.21,2.49e-03 g/l,13.9,8.03
DB06970,,3.5,4.38,5.87e-03 g/l,7.71,-4.8
DB06971,,2.45,2.23,1.93e-02 g/l,10.06,-4.8
DB06973,80-05-7,3.81,4.04,8.65e-02 g/l,9.78,-5.5
DB06974,,2.74,3.13,2.37e-02 g/l,6.28,-3.2
DB06976,,1.21,1.32,3.95e-02 g/l,10.63,9.17
DB06977,,2.92,1.94,1.01e-02 g/l,12.99,9.5
DB06978,,4.38,3.74,2.51e-02 g/l,6.44,0.011
DB06979,,5.04,5.43,2.70e-03 g/l,2.96,-1.1
DB06983,,2.47,1.99,3.08e-02 g/l,14.54,4.82
DB06984,,-0.01,0.24,5.64e+00 g/l,12.88,8.25
DB06985,,3.68,4.78,1.01e-02 g/l,3.53,-3
DB06986,,2.95,3.17,6.46e-03 g/l,9.3,-1.5
DB06987,56715-13-0,0.57,0.43,4.29e-01 g/l,14.08,9.67
DB06988,,-0.27,-0.16,7.92e-02 g/l,1.46,9.09
DB06989,,1.37,2.71,6.57e-03 g/l,-1.4,-6.9
DB06990,,0.84,0.18,1.05e-01 g/l,3.98,2.93
DB06991,,2.83,2.9,5.82e-03 g/l,9.97,2.02
DB06993,,0.38,0.72,6.54e-01 g/l,16.17,8.07
DB06994,,3.65,3.64,2.62e-02 g/l,19.65,7.55
DB06995,,3.05,3.03,3.66e-03 g/l,10.63,7.54
DB06996,,0.63,0.47,1.28e-01 g/l,15.36,11.48
DB06997,,3.99,3.73,2.10e-03 g/l,10.63,5.02
DB06998,,4.14,3.97,6.71e-03 g/l,2.3,-4.9
DB06999,918505-84-7,3.59,2.98,4.22e-03 g/l,8.87,0.75
DB07000,,3.3,2.28,3.59e-03 g/l,7.28,4.67
DB07004,,1.68,2.32,2.37e-02 g/l,11.8,-3
DB07005,,-0.1,0.88,1.32e-02 g/l,15.24,11.48
DB07006,,3.24,2.59,1.90e-02 g/l,8.1,-2.4
DB07007,,1.77,2,1.86e-02 g/l,17.21,9.18
DB07009,,3.87,3.73,8.21e-02 g/l,8.84,0.32
DB07010,,4.46,4.36,2.60e-03 g/l,11.61,1.63
DB07012,,0,-0.22,4.20e-01 g/l,11.06,5.13
DB07013,,1.93,1.65,1.32e-02 g/l,8.83,0.91
DB07016,,1.03,1.54,5.06e-01 g/l,5.83,2.71
DB07017,,2.65,2.55,6.22e-02 g/l,14.19,-0.28
DB07018,,3.18,3.13,8.12e-02 g/l,11.82,4.42
DB07020,,3.52,3.52,9.41e-02 g/l,9.75,1.67
DB07022,,1.71,1.35,1.98e-02 g/l,10.86,11.5
DB07023,,0.92,2.21,1.62e-01 g/l,14.65,11.23
DB07024,,1.88,1.26,4.81e-01 g/l,8.4,-3.8
DB07025,,3.41,2.77,7.09e-03 g/l,11.76,10.27
DB07026,,1.34,1.51,4.58e-01 g/l,10.04,-4.1
DB07027,,1.78,2.1,4.45e-02 g/l,14.67,7.7
DB07028,,3.77,3.61,3.55e-03 g/l,2.97,-1.4
DB07030,,2.88,2.64,7.55e-03 g/l,3,-1.3
DB07031,,4.55,4.76,1.16e-03 g/l,3.87,-3.9
DB07032,,3.19,3.09,1.12e-01 g/l,9.13,-3.3
DB07033,,1.64,1.29,1.48e-01 g/l,9.41,0.45
DB07034,,1.47,1.57,8.29e-02 g/l,2.96,1.56
DB07035,,3.97,3.68,1.74e-02 g/l,10.34,-4.7
DB07036,,3.6,3.47,4.13e-02 g/l,9.31,-4.1
DB07037,,0.6,0.12,1.19e+00 g/l,12.44,9.2
DB07038,,2.15,3.55,2.11e-01 g/l,2.17,5.02
DB07039,,2.29,3.32,2.24e-02 g/l,11.95,-4
DB07040,,0.71,1.75,4.89e-01 g/l,13.45,1.19
DB07041,,3.8,3.86,5.79e-03 g/l,14.89,4.11
DB07042,,2.09,2.22,4.66e-02 g/l,13.58,6.7
DB07043,,2.55,3.45,1.05e-01 g/l,13.64,3.25
DB07044,,4.94,4.66,8.44e-03 g/l,6.44,-0.21
DB07045,,1.39,1,5.11e-01 g/l,12.45,4.7
DB07046,,3.21,4.44,1.03e-02 g/l,11.97,-3
DB07047,,4.85,4.83,2.42e-02 g/l,2.7,-6.3
DB07048,,2.97,2.93,2.37e-02 g/l,10.19,0.61
DB07050,,0.26,0.21,4.38e-01 g/l,6.4,-2.8
DB07052,,0.42,-0.36,5.00e+00 g/l,12.47,4.99
DB07053,,5.3,5.37,1.22e-02 g/l,3.96,-2.7
DB07054,,3.73,4.37,2.55e-02 g/l,13.22,8.7
DB07055,,0.36,0.21,1.38e+00 g/l,4.42,-1.2
DB07056,,3.23,3.33,8.37e-02 g/l,6.8,1.68
DB07057,,0.72,0.38,1.58e+01 g/l,3.82,-4.2
DB07058,,3.51,2.93,1.96e-02 g/l,6.47,4.94
DB07059,,1.35,0.81,2.32e-01 g/l,15.18,7.77
DB07060,,1.33,1.28,2.12e+00 g/l,4.14,-3.9
DB07061,,4.39,4.83,3.61e-03 g/l,14.44,10.21
DB07062,,1.72,-0.11,3.33e-01 g/l,6.82,-3.1
DB07063,245116-90-9,3.94,4.3,1.10e-02 g/l,4.22,1.45
DB07064,,3.25,3.52,1.01e-01 g/l,9.44,-1.6
DB07066,,3.24,3.14,5.60e-03 g/l,9.29,-2
DB07067,,0.88,0.78,2.71e-01 g/l,19.22,7.53
DB07068,,1.33,2.24,4.31e-02 g/l,-1.4,-6.9
DB07069,1637-75-8,0.52,0.22,2.91e+00 g/l,3.25,-1.4
DB07070,,3.93,4.7,2.13e-03 g/l,4.08,-1.9
DB07071,,0.53,1.68,3.70e-01 g/l,14.65,11.63
DB07073,,2.18,2.11,5.57e-01 g/l,16.31,1.18
DB07074,,2.4,2.6,1.74e-02 g/l,9.16,11.28
DB07075,,3.32,2.82,1.16e-02 g/l,13.02,10.28
DB07076,,4.24,3.66,1.68e-03 g/l,11.79,11.12
DB07077,,0.15,0.76,7.65e-01 g/l,14.65,10.09
DB07078,,3.49,3.45,4.58e-02 g/l,9.82,-2.1
DB07079,,3.21,2.49,8.97e-03 g/l,10.19,-4.9
DB07080,293754-55-9,3.83,4.77,8.67e-03 g/l,7.45,-6.1
DB07082,,3.96,3.53,4.49e-02 g/l,7.51,1.23
DB07083,,2.6,2.61,1.27e-02 g/l,15.59,7.66
DB07084,,2.85,2.12,1.88e-02 g/l,14.48,-3.6
DB07085,,2.85,3.62,5.43e-03 g/l,3.56,0.28
DB07086,,2.04,2.15,1.13e-01 g/l,9.47,-2.8
DB07087,,2.4,2.84,5.58e-02 g/l,9.47,-2.8
DB07088,,1.02,0.76,1.80e-01 g/l,15.21,11.48
DB07089,,5.16,4.93,7.83e-04 g/l,13.19,6.7
DB07090,,3.55,3.37,4.06e-02 g/l,13.81,-0.59
DB07091,,1.24,1.2,1.14e-01 g/l,15.17,11.48
DB07092,,1.56,1.62,2.30e-01 g/l,18.91,7.39
DB07093,,1.98,1.43,1.18e-02 g/l,3.74,2.3
DB07095,,2.28,1.88,6.65e-02 g/l,15.35,11.48
DB07096,,1.19,0.85,3.97e-01 g/l,9.01,2.64
DB07097,,5.7,5.44,2.28e-03 g/l,6.44,0.38
DB07098,,4.95,4.66,9.12e-03 g/l,6.44,-0.21
DB07099,,1.75,1.85,5.83e-02 g/l,13.99,7.98
DB07100,,1.44,0.43,8.20e-01 g/l,7.94,8.76
DB07101,391210-10-9,2.64,3.98,3.13e-02 g/l,11.88,-3
DB07102,,-0.31,-0.19,9.40e-03 g/l,1.86,9.31
DB07103,,1.29,1.15,1.67e+00 g/l,2.2,-4.8
DB07104,,2.34,2.38,1.52e-02 g/l,14.76,9.99
DB07105,,1.52,1.15,6.72e-03 g/l,12.07,10.8
DB07107,,3.12,3.09,7.53e-04 g/l,17.11,9.24
DB07109,537-73-5,1.56,1.67,8.71e-01 g/l,3.58,-4.9
DB07111,,6.01,5.52,1.24e-03 g/l,4.64,-2.9
DB07112,,2.26,1.82,1.32e-01 g/l,2.67,0.99
DB07113,,3.14,3.02,1.76e-02 g/l,17.25,7.77
DB07116,,0.69,1.8,1.15e+00 g/l,1.23,-3.2
DB07117,,2.07,2.52,3.10e-02 g/l,7.67,2.95
DB07118,90-33-5,2.19,1.78,1.99e+00 g/l,7.8,-7
DB07119,,4.35,4.61,6.30e-03 g/l,7.78,-5.5
DB07120,,1.67,1.6,3.40e-01 g/l,9.27,5.68
DB07121,,1.03,-0.21,3.50e-02 g/l,8.45,9.06
DB07122,,1.58,1.97,3.46e-02 g/l,14.54,10.89
DB07124,,2.13,-0.0083,3.84e-02 g/l,14.34,9.5
DB07125,,1.99,0.92,7.30e-02 g/l,3.71,4.48
DB07126,,3.29,2.98,1.89e-02 g/l,8.94,2.37
DB07127,,2.54,2.2,5.37e-02 g/l,-1.6,-1
DB07128,,4.45,4.47,6.48e-03 g/l,10.59,0.97
DB07130,,2.71,3.28,6.06e-03 g/l,3.09,-5
DB07131,,2.87,2.32,3.10e-02 g/l,15.3,11.48
DB07132,,1.25,0.13,9.11e-02 g/l,13.66,0.49
DB07133,,1.69,2.47,1.19e-02 g/l,15.45,7.7
DB07134,,2.8,1.83,3.09e-02 g/l,3.78,-4.6
DB07135,,1.2,0.81,1.52e-01 g/l,18.94,7.39
DB07136,607837-17-2,-0.43,1.2,1.22e-01 g/l,1.52,9.24
DB07137,,2.24,0.97,1.11e-01 g/l,15.02,-3.2
DB07139,,3.67,3.55,4.83e-03 g/l,4.41,-8.3
DB07140,,3.98,4.14,3.85e-03 g/l,17.61,7.29
DB07141,,4.22,4.65,2.69e-03 g/l,17.61,7.29
